"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Staatliche Bibliothek (Schlosbibliothek)","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3Aansbach%20sp-datum%3C1550 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Ansbach","49.3034","10.57451","Explore","No post available","0"
"Nelson-Atkins Museum of Art, Spencer Art Reference Library","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=Nelson-Atkins+Museum+of+Art Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","United States of America","Kansas City","39.044817","-94.580906","Explore","No post available","0"
"Universidad de Sevilla","https://archive.org/details/bibliotecauniversitariadesevilla?and%5b%5d=subject%3A%22Manuscritos%22 Digitized manuscripts","Unknown","no","Unknown","no","Spain","Sevilla","37.380758","-5.991231","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=BAGNERES-DE-BIGORRE&TOUT=true Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Bagneres-De-Bigorre","43.06214","0.149293","Explore","No post available","0"
"State of California, California State Library","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=State+of+California Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","United States of America","Sacramento","38.575783","-121.496408","Explore","No post available","0"
"The British Library Digitised Manuscripts","https://www.bl.uk/collection/digitised-manuscripts-archives Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","England","London","51.529222","-0.126753","Explore","No post available","0"
"Bibliothek des Bischoflichen Priesterseminars, Bistumsarchiv, Stadtbibliothek Trier","http://www.stmatthias.uni-trier.de/index.php?id=4&zimk_stmatthias[action]=showDetails&zimk_stmatthias[uid]=-1 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Trier","49.7569","6.64248","Explore","No post available","0"
"Provinciale Bibliotheek Limburg","http://www.flandrica.be/solr-search/results/?solrfacet=collection:%22Provinciale%20Bibliotheek%20Limburg%22+AND+136_s:%22handschrift%22 Digitized manuscripts","Unknown","no","Unknown","no","Belgium","Hasselt","50.66991","5.28475","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Saint-Brieuc&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Saint-Brieuc","48.51418","-2.765835","Explore","No post available","0"
"Biblioteca dell'Archiginnasio","http://badigit.comune.bologna.it/books/ludolfo/index.html Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Italy","Bologna","44.492106","11.343443","Explore","No post available","0"
"Archives de l'Etat du Valais/Staatsarchiv Wallis","https://www.e-codices.unifr.ch/en/list/aev/ Digitized manuscripts","Unknown","yes","Unknown","no","Switzerland","Sion / Sitten","46.227021","7.353335","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Coutances&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Coutances","49.047597","-1.445261","Explore","No post available","0"
"The Morgan Library & Museum","https://www.themorgan.org/manuscripts/list?field_medieval_centuries_tid=All&field_image_available_tid=11766&field_ms_type_tid=All&field_country_taxonomy_tid=All Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.748667","-73.982025","Explore","No post available","0"
