"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Koninklijke Bibliotheek van Belgie, Bibliotheque royale de Belgique","https://belgica.kbr.be/belgica/ Digitized manuscripts","Unknown","no","Unknown","no","Belgium","Brussels","50.843333","4.356389","Explore","No post available","0"
"Bibliotheque Municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=SENS&TOUT=true Digitized manuscripts","Unknown","no","Unknown","no","France","Sens","48.19572","3.289927","Explore","No post available","0"
"Archives Cantonales Vaudoises","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets[collection_facet][]=Chavannes-pr%C3%A8s-Renens%2C+Archives+cantonales+vaudoises Digitized manuscripts","Unknown","yes","Unknown","no","Switzerland","Chavannes-pres-Renens","46.525602","6.578259","Explore","No post available","0"
"Bryn Mawr College, Bryn Mawr College Library","https://bibliophilly.library.upenn.edu/?keyword=Bryn+Mawr+College,+Bryn+Mawr+College+Library Digitized manuscripts","Unknown","no","Unknown","no","United States of America","Philadelphia","40.0265","-75.3144","Explore","No post available","0"
"Biblioteca Valenciana Nicolau Primitiu","http://bivaldi.gva.es/es/cms/elemento.cmd?id=estaticos/paginas/inicio.html Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Spain","Valencia","39.499507","-0.369979","Explore","No post available","0"
"Bibliotheque de Bordeaux","http://www.manuscrits-medievaux.fr/resultats.aspx?fd=95 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Bordeaux","44.873793","-0.572865","Explore","No post available","0"
"National Szechenyi Library Multimedia Project","http://nyelvemlekek.oszk.hu/tud/nyelvemlekek Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Hungary","Budapest","47.496615","19.037932","Explore","No post available","0"
"Staatliche Museen zu Berlin","http://www.smb-digital.de/eMuseumPlus Digitized manuscripts","Unknown","no","Unknown","no","Germany","Berlin","52.509289","13.364284","Explore","No post available","0"
"Bibliotheque Chateau de Pau","http://www.manuscrits-medievaux.fr/resultats.aspx?fd=100 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Pau","43.294822","-0.3757","Explore","No post available","0"
"Stadsbibliotheek Haarlem","http://collections.tresoar.nl/cdm/landingpage/collection/SBHMS Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Netherlands","Haarlem","52.380204","4.6312","Explore","No post available","0"
"Biblioteca Nacional de Portugal","https://bndigital.bnportugal.gov.pt/ Digitized manuscripts","Unknown","no","Unknown","no","Portugal","Lisbon","38.751018","-9.15174","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=EVREUX&TOUT=true Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Evreux","49.026754","1.151361","Explore","No post available","0"
"Zeeuwse Bibliotheek","http://www.mmdc.nl/static/site/search/?searchMode=advanced&recordId=null&selectedRecordId=null&maximumRecords=15&recordDisplayLevel=1&startRecord=1&showMap=1&freetextsearch=Type+in+query&shelfmark=middelburg&author=Type+in+query...+%28autocompleted%29&tit Digitized manuscripts","Unknown","no","Unknown","no","Netherlands","Middelburg","51.49632","3.615961","Explore","No post available","0"
"Chatsworth","https://www.isos.dias.ie/master.html?http://www.isos.dias.ie/libraries/CHATSWORTH/english/?ref=http://www.isos.dias.ie/libraries/CHATSWORTH/ Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Ireland","Chesterfield","51.677376","-9.46744","Explore","No post available","0"
"Center for the Study of New Testament Manuscripts","http://www.csntm.org/ Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","no","Unknown","no","United States of America","Plano","33.008042","-96.732293","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Chateau-Gontier&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Chateau-Gontier","47.826693","-0.7069","Explore","No post available","0"
"Columbia University, Arthur W. Diamond Law Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=17&docsPerPage=30 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.807128","-73.960283","Explore","No post available","1"
"Le Labo - Cambrai (Médiathèque municipale)","https://arca.irht.cnrs.fr/collection/1543/manuscripts Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","yes","Unknown","no","France","Cambrai","50.17254","3.23104","Explore","No post available","0"
"Staatsarchiv Marburg","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3AMarburg%20sp-datum%3C1550 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Germany","Marburg","50.80355","8.76291","Explore","No post available","0"
"Universiteitsbibliotheek Gent","http://www.flandrica.be/solr-search/results/?solrfacet=collection:%22Universiteitsbibliotheek%20Gent%22+AND+136_s:%22handschrift%22 Digitized manuscripts","Unknown","no","Unknown","no","Belgium","Ghent","51.045201","3.725216","Explore","No post available","0"
"City College of New York, Morris R. Cohen Library, Archives and Special Collections","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=City+College+of+New+York Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","United States of America","New York","40.823275","-73.947739","Explore","No post available","0"
"State of California, Sutro Collection","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=12&docsPerPage=30 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","San Francisco","37.720914","-122.477211","Explore","No post available","1"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Aix-En-Provence&newSearch=1 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Aix-En-Provence","43.523961","439458","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=AMIENS&TOUT=true Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Amiens","49.898005","2.303637","Explore","No post available","0"
"Badische Landesbibliothek","https://digital.blb-karlsruhe.de/Handschriften/nav/classification/20950 Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Unknown","no","Germany","Karlsruhe","49.010669","8.398898","Explore","No post available","0"
"Columbia University, Gabe M. Wiener Music and Arts Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=19&docsPerPage=30 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.807764","-73.962667","Explore","No post available","1"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Beaune&newSearch=1 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","France","Beaune","47.02604","4.840004","Explore","No post available","0"
"Biblioteca de Montserrat","https://bibliotecademontserrat.cat/index.php/manuscrits/ Digitized manuscripts","Unknown","no","Unknown","no","Spain","Montserrat","41.580862","1.779828","Explore","No post available","0"
"Katholisches Pfarrarchiv Frauenfeld","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Frauenfeld%2C+Katholisches+Pfarrarchiv+Frauenfeld Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Frauenfeld","47.555053","8.898064","Explore","No post available","0"
"Universitätsbibliothek","http://www.ub.uni-kiel.de/digiport/Handschriften/hand.html Digitized manuscripts","Unknown","no","Unknown","no","Germany","Kiel","54.346577","10.111188","Explore","No post available","0"
"Bibliotheque du Chapitre metropolitain","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Biblioth%C3%A8que+du+Chap%C3%AEtre+m%C3%A9tropolitain&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Paris","48.852968","2.349902","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=NICE&TOUT=true Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Nice","43.701493","7.278586","Explore","No post available","0"
"Bibliotheque Municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=boulogne-sur-mer&newSearch=1 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Boulogne-sur-mer","50.735205","1.60553","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Soissons&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Soissons","49.376662","3.32342","Explore","No post available","0"
"Congregation du Grand-Saint-Bernard","https://gsbernard.ch/6/64/643.php Digitized manuscripts","Unknown","no","Unknown","no","Switzerland","Simplon","46.250594","8.032207","Explore","No post available","0"
"University of Victoria","http://www.uvic.ca/library/featured/collections/manuscripts/index.php Digitized manuscripts","Unknown","no","Unknown","no","Canada","Victoria","48.463407","-123.311694","Explore","No post available","0"
"New York University, Bobst Library, Special Collections","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=New+York+University Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","United States of America","New York","40.729467","-73.997142","Explore","No post available","0"
"Benediktinerabtei","https://fuldig.hs-fulda.de/viewer/browse/ Digitized manuscripts","Unknown","no","Unknown","no","Germany","Weingarten","47.809602","9.637983","Explore","No post available","0"
"National Library of Spain","http://bdh.bne.es/bnesearch/Search.do?fechaFhasta=1300&text=&fechaFdesde=400&sort=&showYearItems=&exact=&textH=&advanced=&completeText=&tipomaterial1=Manuscrito&pageNumber=1&pageSize=30&language=es Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Spain","Madrid","40.423761","-3.690232","Explore","No post available","0"
"Universitäts- und Forschungsbibliothek Erfurt/Gotha","https://dhb.thulb.uni-jena.de/templates/master/template_dhb/sites/medival_manuscripts.xml Digitized manuscripts","Unknown","no","Unknown","no","Germany","Erfurt","50.989321","11.008887","Explore","No post available","0"
"Archives Historiques du diocese de Nantes","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Archives+Historiques+du+dioc%C3%A8se+de+Nantes&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Nantes","47.224267","-1.542319","Explore","No post available","0"
"Archivio parrocchiale","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Chironico%2C+Archivio+parrocchiale Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Chironico","46.42215","8.843618","Explore","No post available","0"
"Hessische Landes- und Hochschulbibliothek","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3ADarmstadt%20sp-datum%3C1550 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Darmstadt","49.873369","8.656489","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Draguignan&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Draguignan","43.537727","6.464993","Explore","No post available","0"
"Uppsala Universitetsbiblioteket","https://www.alvin-portal.org/alvin/resultList.jsf?dswid=1873&af=%5B%22ARCHIVE_ORG_ID_facet%3A3%22%5D&p=1&fs=true&searchType=TEXT&sortString=person_sort_asc&noOfRows=50&query=&aq=%5B%5B%5D%5D&aqe=%5B%5D Digitized manuscripts","Unknown","yes","Public Domain","yes","Sweden","Uppsala","59.8549","17.6312","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Colmar&newSearch=1 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","France","Colmar","48.07784","7.358512","Explore","No post available","0"
"Art Gallery of Ballarat","http://www.slv.vic.gov.au/search-discover/explore-collections-theme/history-book/medieval-manuscripts Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Australia","Ballarat","-37.560486","143.858271","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=FOIX&TOUT=true Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Foix","42.955731","1.609414","Explore","No post available","0"
"Openbare Bibliotheek Brugge","http://www.flandrica.be/solr-search/results/?solrfacet=collection:%22Openbare%20Bibliotheek%20Brugge%22+AND+136_s:%22handschrift%22 Digitized manuscripts","Unknown","no","Unknown","no","Belgium","Bruges","51.20969","3.223162","Explore","No post available","0"
"Biblioteca Estense Universitaria","https://edl.cultura.gov.it/home/index.aspx Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","All Rights Reserved","no","Italy","Modena","44.648208","10.921019","Explore","No post available","0"
"Stadtarchiv Stralsund","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3AStralsund%20sp-datum%3C1550 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Stralsund","54.317652","13.092205","Explore","No post available","0"
"Marsh's Library","https://www.isos.dias.ie/master.html?https://www.isos.dias.ie/libraries/MARSH/english/index.html?ref= Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Ireland","Dublin","53.339022","-6.270694","Explore","No post available","0"
"Archivio parrocchiale","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Tesserete%2C+Archivio+parrocchiale Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Tesserete","46.066667","8.966667","Explore","No post available","0"
"Staats- und Universitätsbibliothek","http://digitalisate.sub.uni-hamburg.de/de/startseite.html Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Germany","Hamburg","53.564724","9.985209","Explore","No post available","0"
"Universitäts- und Landesbibliothek Bonn","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio:%22Bonn%22%20sp-datum%3C1550%20biblio:Landesbibliothek%20biblio:Bonn#|4 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Bonn","50.731342","7.108468","Explore","No post available","0"
"Historisches Archiv der Stadt","https://diglib.hab.de/?db=mss&list=collection&id=ed&settlement=Halberstadt&repository=Historisches+Stadtarchiv Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Halberstadt","51.8964728","11.0476959","Explore","No post available","0"
"Stiftsbibliothek","https://www.e-codices.unifr.ch/en/list/sbe Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","Switzerland","Einsiedeln","47.128093","8.744269","Explore","No post available","0"
"Streekarchief Midden-Holland","https://www.mmdc.nl/static/site/search/?searchMode=advanced&recordId=null&selectedRecordId=null&maximumRecords=15&recordDisplayLevel=1&startRecord=1&showMap=1&freetextsearch=Type+in+query&shelfmark=gouda&author=Type+in+query...+%28autocompleted%29&title=T Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Netherlands","Gouda","52.012293","4.716346","Explore","No post available","0"
"Archives municipales","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=SAINT-ANTONIN-NOBLE-VAL&TOUT=true Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Saint-Antonin-Noble-Val","44.150055","1.756144","Explore","No post available","0"
"Historisch Centrum Overijssel","https://www.mmdc.nl/static/site/search/?searchMode=advanced&recordId=null&selectedRecordId=null&maximumRecords=15&recordDisplayLevel=1&startRecord=1&showMap=1&freetextsearch=Type+in+query&shelfmark=hco&author=Type+in+query...+%28autocompleted%29&title=Typ Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Netherlands","Zwolle","52.517622","6.100476","Explore","No post available","0"
"Harvard University, Houghton Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=2&docsPerPage=30 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","United States of America","Cambridge","42.373069","-71.115919","Explore","No post available","1"
"Kantonsbibliothek, Vadianische Sammlung","https://www.e-codices.unifr.ch/en/list/vad Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","Switzerland","St. Gallen","47.4291","9.38194","Explore","No post available","0"
"Universiteitsbibliotheek Gent","https://lib.ugent.be/catalog/access%3Azoomable?q=manuscript Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Unknown","no","Belgium","Ghent","51.045201","3.725216","Explore","No post available","0"
"Konzernarchiv Georg Fischer AG","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Schaffhausen%2C+Konzernarchiv+Georg+Fischer+AG Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Schaffhausen","47.708393","8.643781","Explore","No post available","0"
"Dwight B. Waldo Library, Western Michigan University","http://luna.library.wmich.edu:8180/luna/servlet/s/4w5t8d Digitized manuscripts","Unknown","no","Unknown","no","United States of America","Kalamazoo","42.282326","-85.613934","Explore","No post available","0"
"Huis Bergh","http://www.collectiegelderland.nl/zoeken/?q=Huis+Bergh%3a+Manuscripten&fq=instellingscode:0211 Digitized manuscripts","Unknown","no","Unknown","no","Netherlands","s-Heerenberg","51.874714","6.240756","Explore","No post available","0"
"Rijksmuseum","https://www.rijksmuseum.nl/en/search?s=chronologic&f=1&p=1&ps=12&material=parchment%20(animal%20material)&imgonly=True&ii=0 Digitized manuscripts","Unknown","no","Unknown","no","Netherlands","Amsterdam","52.359853","4.885489","Explore","No post available","0"
"University of California, Berkeley, Jean Gray Hargrove Music Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=8&docsPerPage=30 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","Berkeley","37.870447","-122.256128","Explore","No post available","1"
"Bibliotheque de l'Ecole des Beaux-Arts","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Biblioth%C3%A8que+de+l%27Ecole+des+Beaux-Arts&newSearch=1 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Paris","48.855186","2.359384","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Metz&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Metz","49.119643","6.176905","Explore","No post available","0"
"Collegio di Spagna","http://irnerio.cirsfid.unibo.it/codex/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Italy","Bologna","44.490646","11.338025","Explore","No post available","0"
"University of Melbourne","https://digitised-collections.unimelb.edu.au/handle/11343/151 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Australia","Melbourne","-37.800361","144.957981","Explore","No post available","0"
"School of Celtic Studies","https://www.isos.dias.ie/master.html?https://www.isos.dias.ie/libraries/DIAS/english/index.html?ref= Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Ireland","Dublin","53.331252","-6.245721","Explore","No post available","0"
"Paroisse catholique Saint-Laurent","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Estavayer-le-Lac%2C+Paroisse+catholique+Saint-Laurent Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Estavayer-le-Lac","46.84964","6.845061","Explore","No post available","0"
"New College of Florida","http://ncf.sobek.ufl.edu/manu/all Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","Sarasota","27.384828","-82.558703","Explore","No post available","0"
"Stadsarchief en Athenaeumbibliotheek","http://www.deventerboekenstad.nl/?method=c.dsp_lib_rep_searchresults&set_id=6847A5E9-B96C-B63B-506198C1D25AB191 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Netherlands","Deventer","52.253324","6.152568","Explore","No post available","0"
"Hauptstaatsarchiv","https://diglib.hab.de/?db=mss&list=collection&id=ed&settlement=Hannover Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Hanover","52.3696446","9.73042964559288","Explore","No post available","0"
"Zentral- und Hochschulbibliothek","https://www.e-codices.unifr.ch/en/list/zhl Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","Switzerland","Luzern","47.047332","8.307468","Explore","No post available","0"
"Abbaye de la Fille-Dieu Romont","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Romont%2C+Abbaye+de+la+Fille-Dieu+Romont Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Romont","46.701104","6.9276","Explore","No post available","0"
"Leeds University Library","http://library.leeds.ac.uk/special-collections-explore/?query=&displayMedia=list&objectType=&searchColumn=archiveKeyWord&collectionGroup=Medieval+Manuscripts&archiveLevel=&archiveEarliest=&archiveLatest=&sortBy=Relevance&browseQuery=Search&searchMode=adva Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Unknown","no","England","Leeds","53.80724","-1.551635","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=MELUN,+Biblioth%C3%A8que+municipale&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Melun","48.53639","2.659037","Explore","No post available","0"
"Benediktinerinnenkloster","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Hermetschwil%2C+Benediktinerinnenkloster Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","Switzerland","Hermetschwil","47.334273","8.346243","Explore","No post available","0"
"Zentralbibliothek","https://www.e-codices.unifr.ch/en/list/zbs Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Solothurn","47.209945","7.529658","Explore","No post available","0"
"Couvent des Cordeliers / Franziskanerkloster","https://www.e-codices.unifr.ch/en/list/fcc Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Fribourg","46.807222","7.160755","Explore","No post available","0"
"University Library in Bratislava","http://digitalna.kniznica.info/browse Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Slovakia","Bratislava","48.143502","17.106403","Explore","No post available","0"
"National Library of Australia","http://www.nla.gov.au/apps/cdview/?pi=nla.ms-ms1097 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Australia","Canberra","-35.300912","149.134078","Explore","No post available","0"
"Braginsky Collection","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Z%C3%BCrich%2C+Braginsky+Collection Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","Switzerland","Zürich","47.360388","8.53106","Explore","No post available","0"
"Bibliotheques de l'Universite de Liege","https://donum.uliege.be/simple-search?filterquery=manuscripts+%28document+genre%29&filtername=type&filtertype=authority Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Public Domain","yes","Belgium","Liege","50.640306","5.575766","Explore","No post available","0"
"Friedrich-Alexander-Universität - Erlangen-Nürnberg","http://digital.bib-bvb.de/collections/FAU/#/documents/DTL-1995 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Nuremberg","49.59788","11.004551","Explore","No post available","0"
"Biblioteca de Castilla y Leon","http://bibliotecadigital.jcyl.es/i18n/estaticos/presentacion.cmd Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Spain","Valladolid","42.595414","-5.571864","Explore","No post available","0"
"Mairie","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=PORTET-SUR-GARONNE&TOUT=true Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Portet-Sur-Garonne","43.520483","1.399944","Explore","No post available","0"
"Johns Hopkins University, George Peabody Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=32&docsPerPage=30 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","United States of America","Baltimore","39.297361","-76.615","Explore","No post available","1"
"Bibliotheque Nationale de France","https://mandragore.bnf.fr/exploration/cote Digitized manuscripts","Unknown","no","Unknown","no","France","Paris","48.835852","2.372197","Explore","No post available","0"
"Special Collections, University of Iowa Libraries","http://digital.lib.uiowa.edu/ Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","United States of America","Iowa City","41.659395","-91.538411","Explore","No post available","0"
"The J. Paul Getty Museum","https://www.getty.edu/art/collection/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","United States of America","Los Angeles","34.077174","-118.47394","Explore","No post available","0"
"University of Missouri, Ellis Library, Special Collections","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=45&docsPerPage=30 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","United States of America","Columbia","38.944278","-92.326472","Explore","No post available","1"
"Chester Beatty Library","http://www.cbl.ie/cbl_image_gallery/search/list.aspx Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Ireland","Dublin","53.342274","-6.267473","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Lisieux&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Lisieux","49.145833","0.227849","Explore","No post available","0"
"Johns Hopkins University, Milton S. Eisenhower Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=33&docsPerPage=30 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","Baltimore","39.3275798","-76.6207579","Explore","No post available","1"
"Stiftsarchiv (Abtei Pfafers)","https://www.e-codices.unifr.ch/en/list/ssg Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","St. Gallen","47.423505","9.377647","Explore","No post available","0"
